name,team,position,jersey_number,height,weight,age,birth_date,college,draft_year,draft_round,draft_pick,years_pro,games_played,games_started,twitter_handle,instagram_handle,twitter_followers,instagram_followers,wikipedia_url,career_highlights,awards,data_source,scraped_at,brand_power,proof,proximity,velocity,risk,total_gravity
Jalen Redmond,vikings,DL,61.0,"6'2""",291,,,Oklahoma,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.690451,600.0,2500.0,1050.0,2000.0,6050.0,20.2
Bo Richter,vikings,LB,54.0,"6'1""",248,,,Air Force,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.691495,600.0,0.0,1050.0,0.0,6050.0,9.7
Brett Rypien,vikings,QB,11.0,"6'2""",210,,,Boise State,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.693058,780.0,0.0,1160.0,0.0,8300.0,12.6
Zavier Scott,vikings,RB,36.0,"6'1""",219,,,Maine,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.693295,600.0,0.0,1050.0,0.0,4510.0,8.1
Levi Drake Rodriguez,vikings,DL,50.0,"6'2""",290,,,Texas A&M-Commerce,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.692238,600.0,2500.0,1050.0,2000.0,6050.0,20.2
Walter Rouse,vikings,OT,73.0,"6'6""",313,,,Oklahoma,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.692493,600.0,2500.0,1050.0,2000.0,6050.0,20.2
Harrison Smith,vikings,FS,22.0,"6'2""",211,,,Notre Dame,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.694261,600.0,2500.0,1050.0,2000.0,6050.0,20.2
Reddy Steward,vikings,CB,20.0,"5'11""",178,,,Troy,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.694442,600.0,0.0,1050.0,0.0,4400.0,8.0
Tre Stewart,vikings,RB,38.0,"5'8""",186,,,Jacksonville State,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.694707,600.0,0.0,1050.0,0.0,4510.0,8.1
Thayer Thomas,vikings,WR,89.0,"6'0""",195,,,N.C. State,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.695856,720.0,0.0,1050.0,0.0,5750.0,9.7
Justin Skule,vikings,OT,67.0,"6'6""",315,,,Vanderbilt,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.693967,600.0,2500.0,1050.0,2000.0,6050.0,20.2
Tavierre Thomas,vikings,CB,37.0,"5'10""",205,,,Ferris State,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.695611,600.0,0.0,1050.0,0.0,4100.0,7.7
Ambry Thomas,vikings,CB,23.0,"6'0""",190,,,Michigan,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.695368,600.0,0.0,1050.0,0.0,4100.0,7.7
Dallas Turner,vikings,LB,15.0,"6'3""",247,,,Alabama,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.696334,600.0,0.0,1050.0,0.0,6350.0,10.0
Andrew Van Ginkel,vikings,OLB,43.0,"6'4""",242,,,Wisconsin,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.696745,600.0,2500.0,1050.0,2000.0,6050.0,20.2
Maxwell Tooley,vikings,LB,45.0,"6'2""",225,,,BYU,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.696054,600.0,0.0,1050.0,0.0,6050.0,9.7
Taki Taimani,vikings,DL,94.0,"6'1""",309,,,Oregon,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.694898,600.0,2500.0,1050.0,2000.0,5750.0,19.9
Zemaiah Vaughn,vikings,CB,34.0,"6'2""",187,,,Utah,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.697403,600.0,0.0,1050.0,0.0,4100.0,7.7
Jay Ward,vikings,SAF,24.0,"6'1""",188,,,LSU,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.697775,600.0,2500.0,1050.0,2000.0,6050.0,20.2
Alex Williams,vikings,DE,99.0,"6'7""",291,,,Middle Tennessee State,,,,,,,,,,,,,,nfl.com,2025-07-20 21:12:49.698449,600.0,0.0,1050.0,0.0,7250.0,10.8
