name,jersey_number,position,status,height,weight,age,experience,college,team,data_source,scraped_at,brand_power,proof,proximity,velocity,risk,total_gravity
Mitchell Fraboni,48.0,LS,ACT,"6'2""",223,,4,Arizona State,broncos,nfl.com,2025-07-21T13:58:17.700488,6.0,33.3,10.5,20.0,63.5,22.9
Delarrin Turner-Yell,32.0,SAF,ACT,"5'11""",200,,4,Oklahoma,broncos,nfl.com,2025-07-21T13:58:17.700963,6.0,33.3,10.5,20.0,63.5,22.9
Luke Wattenberg,60.0,C,ACT,"6'5""",300,,4,Washington,broncos,nfl.com,2025-07-21T13:58:17.701002,6.0,33.3,10.5,20.0,63.5,22.9
JL Skinner,34.0,SAF,ACT,"6'4""",220,,3,Boise State,broncos,nfl.com,2025-07-21T13:58:17.700869,6.0,31.2,10.5,20.0,59.5,21.9
Alex Forsyth,54.0,C,ACT,"6'4""",312,,3,Oregon,broncos,nfl.com,2025-07-21T13:58:17.700480,6.0,31.2,10.5,20.0,59.5,21.9
Alex Palczewski,63.0,OT,ACT,"6'6""",315,,3,Illinois,broncos,nfl.com,2025-07-21T13:58:17.700740,6.0,31.2,10.5,20.0,59.5,21.9
Devon Key,26.0,SAF,ACT,"6'0""",208,,2,Western Kentucky,broncos,nfl.com,2025-07-21T13:58:17.700606,6.0,29.2,10.5,20.0,59.5,21.3
Frank Crum,73.0,OT,ACT,"6'7""",315,,2,Wyoming,broncos,nfl.com,2025-07-21T13:58:17.700419,6.0,29.2,10.5,20.0,59.5,21.3
Keidron Smith,43.0,DB,ACT,"6'2""",210,,2,Kentucky,broncos,nfl.com,2025-07-21T13:58:17.700877,6.0,29.2,10.5,20.0,59.5,21.3
Jeremy Crawshaw,39.0,P,ACT,"6'3""",205,,R,Florida,broncos,nfl.com,2025-07-21T13:58:17.700411,6.0,25.0,10.5,20.0,65.0,20.6
Joseph Michalski,68.0,C,ACT,"6'5""",305,,R,Oklahoma State,broncos,nfl.com,2025-07-21T13:58:17.700687,6.0,25.0,10.5,20.0,60.5,20.2
Marques Cox,70.0,OT,ACT,"6'5""",312,,R,Kentucky,broncos,nfl.com,2025-07-21T13:58:17.700403,6.0,25.0,10.5,20.0,60.5,20.2
Clay Webb,64.0,G,ACT,"6'3""",312,,R,Jacksonville State,broncos,nfl.com,2025-07-21T13:58:17.701010,6.0,25.0,10.5,20.0,60.5,20.2
Xavier Truss,71.0,G,ACT,"6'7""",320,,R,Georgia,broncos,nfl.com,2025-07-21T13:58:17.700948,6.0,25.0,10.5,20.0,60.5,20.2
Nick Gargiulo,66.0,G,ACT,"6'5""",310,,1,South Carolina,broncos,nfl.com,2025-07-21T13:58:17.700519,6.0,27.1,10.5,20.0,51.5,19.9
Will Sherman,78.0,OT,ACT,"6'4""",300,,1,Colorado,broncos,nfl.com,2025-07-21T13:58:17.700853,6.0,27.1,10.5,20.0,51.5,19.9
Evan Engram,1.0,TE,ACT,"6'3""",240,,9,Mississippi,broncos,nfl.com,2025-07-21T13:58:17.700457,6.0,20.6,11.6,0.0,78.5,17.8
Jarrett Stidham,8.0,QB,ACT,"6'3""",215,,6,Auburn,broncos,nfl.com,2025-07-21T13:58:17.700884,7.8,15.0,11.6,0.0,83.0,17.1
D.J. Jones,93.0,DT,ACT,"6'0""",305,,9,Mississippi,broncos,nfl.com,2025-07-21T13:58:17.700589,6.0,18.8,10.5,0.0,78.5,17.1
John Franklin-Myers,98.0,DE,ACT,"6'4""",288,,8,Stephen F. Austin State,broncos,nfl.com,2025-07-21T13:58:17.700511,6.0,18.3,10.5,0.0,78.5,17.0
Zach Allen,99.0,DE,ACT,"6'5""",285,,7,Boston College,broncos,nfl.com,2025-07-21T13:58:17.700314,6.0,16.0,10.5,0.0,78.5,16.3
Sam Ehlinger,4.0,QB,ACT,"6'2""",222,,5,Texas,broncos,nfl.com,2025-07-21T13:58:17.700441,7.8,12.5,11.6,0.0,83.0,16.3
